law: 租税条約等の実施に伴う所得税法、法人税法及び地方税法の特例等に関する法律の施行に関する省令 (jisshi_tokurei_kisoku)
law_type: rule / law_num: 昭和四十四年大蔵省・自治省令第一号 / as_of: 2026-01-01
article: 14-2 / title: 第十四条の二

[p1] 1 次の各号に掲げる書類の提出（以下この条において「届出書等の提出」という。）をする者（以下この条において「届出書等提出者」という。）は、当該届出書等の提出の際に経由すべき源泉徴収義務者等（源泉徴収義務者その他の者（第三十七号又は第三十九号に掲げる届出書の提出にあつては、これらの号に規定する規定の非居住者又は外国法人）をいう。以下この条において同じ。）が特定源泉徴収義務者等に該当する場合には、当該届出書等の提出に代えて、当該源泉徴収義務者等に対し、当該各号に規定する書類（第二号、第四十号、第五十一号、第五十三号、第五十五号、第五十七号及び第五十九号から第七十五号までに規定する書類にあつては、これらの書類のうちこれらの号に規定する規定（当該届出書等の提出をすることを定めるものに限る。）により添付すべき書類を除く。以下この条において「届出書等」という。）に記載すべき事項（以下この条において「届出書等記載事項」という。）を電磁的方法により提供することができる。
                  この場合において、当該届出書等提出者は、その者の氏名又は名称を明らかにする措置を講じなければならないものとし、当該氏名又は名称を明らかにする措置を講じているときは、当該届出書等を当該源泉徴収義務者等に提出したものとみなす。
[p1-i1] 一 第二条第一項又は第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i2] 二 第二条第九項の規定による同項に規定する還付請求書の提出
[p1-i3] 三 第二条第十項の規定による同項に規定する特例届出書の提出
[p1-i4] 四 第二条第十二項において準用する同条第二項の規定による同項に規定する届出書の提出
[p1-i5] 五 第二条第十五項（第九条の五第九項において準用する場合を含む。以下この号において同じ。）の規定による第二条第十五項に規定する書面の提出
[p1-i6] 六 第二条の二第一項又は第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i7] 七 第二条の二第八項の規定による同項に規定する還付請求書の提出
[p1-i8] 八 第二条の二第九項の規定による同項に規定する特例届出書の提出
[p1-i9] 九 第二条の二第十一項において準用する同条第二項の規定による同項に規定する届出書の提出
[p1-i10] 十 第二条の二第十四項（第九条の六第九項において準用する場合を含む。以下この号において同じ。）の規定による第二条の二第十四項に規定する書面の提出
[p1-i11] 十一 第二条の三第一項又は第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i12] 十二 第二条の三第七項の規定の適用を受ける場合における同条第一項の規定に基づく同条第七項に規定する届出書の提出
[p1-i13] 十三 第二条の三第八項の規定による同項に規定する特例届出書の提出
[p1-i14] 十四 第二条の三第十項において準用する同条第二項の規定による同項に規定する届出書の提出
[p1-i15] 十五 第二条の三第十一項の規定の適用を受ける場合における同条第八項の規定に基づく同条第十一項に規定する特例届出書の提出
[p1-i16] 十六 第二条の三第十四項（第九条の七第十項において準用する場合を含む。以下この号において同じ。）の規定による第二条の三第十四項に規定する書面の提出
[p1-i17] 十七 第二条の四第一項又は第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i18] 十八 第二条の四第七項の規定の適用を受ける場合における同条第一項の規定に基づく同条第七項に規定する届出書の提出
[p1-i19] 十九 第二条の四第八項の規定による同項に規定する特例届出書の提出
[p1-i20] 二十 第二条の四第十項において準用する同条第二項の規定による同項に規定する届出書の提出
[p1-i21] 二十一 第二条の四第十一項の規定の適用を受ける場合における同条第八項の規定に基づく同条第十一項に規定する特例届出書の提出
[p1-i22] 二十二 第二条の四第十四項（第九条の八第十項において準用する場合を含む。以下この号において同じ。）の規定による第二条の四第十四項に規定する書面の提出
[p1-i23] 二十三 第二条の五第一項又は第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i24] 二十四 第二条の五第七項の規定の適用を受ける場合における同条第一項の規定に基づく同条第七項に規定する届出書の提出
[p1-i25] 二十五 第二条の五第九項の規定による同項に規定する特例届出書の提出
[p1-i26] 二十六 第二条の五第十一項において準用する同条第二項の規定による同項に規定する届出書の提出
[p1-i27] 二十七 第二条の五第十二項の規定の適用を受ける場合における同条第九項の規定に基づく同条第十二項に規定する特例届出書の提出
[p1-i28] 二十八 第二条の五第十五項（第九条の九第十項において準用する場合を含む。以下この号において同じ。）の規定による第二条の五第十五項に規定する書面の提出
[p1-i29] 二十九 第三条第一項の規定による同項に規定する申請書の提出
[p1-i30] 三十 第三条第二項の規定による同項に規定する書類の提出
[p1-i31] 三十一 第三条第三項の規定による同項に規定する届出書の提出
[p1-i32] 三十二 第三条の四第一項の規定による同項に規定する還付請求書の提出
[p1-i33] 三十三 第三条の四第四項の規定による同項に規定する還付請求書の提出
[p1-i34] 三十四 第四条第一項の規定による同項に規定する届出書の提出
[p1-i35] 三十五 第四条第二項の規定による同項に規定する届出書の提出
[p1-i36] 三十六 第四条第三項又は第四項の規定によるこれらの規定に規定する届出書の提出
[p1-i37] 三十七 第四条第五項の規定による同項に規定する届出書の提出
[p1-i38] 三十八 第四条第八項の規定による同項に規定する還付請求書の提出
[p1-i39] 三十九 第四条第九項において準用する第二条第二項の規定による同項に規定する届出書の提出
[p1-i40] 四十 第四条第十一項の規定による同項に規定する還付請求書の提出
[p1-i41] 四十一 第四条第十二項又は第十三項の規定によるこれらの規定に規定する届出書の提出
[p1-i42] 四十二 第四条第十五項の規定による同項に規定する還付請求書の提出
[p1-i43] 四十三 第五条第一項の規定又は同条第二項において準用する第二条第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i44] 四十四 第五条第四項（第六条第四項、第七条第四項及び第九条第四項において準用する場合を含む。以下この号において同じ。）の規定による第五条第四項に規定する還付請求書の提出
[p1-i45] 四十五 第六条第一項の規定又は同条第二項において準用する第二条第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i46] 四十六 第七条第一項の規定又は同条第二項において準用する第二条第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i47] 四十七 第八条第一項又は第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i48] 四十八 第八条第四項（同条第七項及び第九項において準用する場合を含む。以下この号において同じ。）の規定による同条第四項に規定する還付請求書の提出
[p1-i49] 四十九 第八条第五項において準用する第二条第二項の規定による同項に規定する届出書の提出
[p1-i50] 五十 第九条第一項の規定又は同条第二項において準用する第二条第二項の規定によるこれらの規定に規定する届出書の提出
[p1-i51] 五十一 第九条の五第一項の規定による同項に規定する届出書の提出
[p1-i52] 五十二 第九条の五第七項の規定による同項に規定する特例届出書の提出
[p1-i53] 五十三 第九条の五第十一項又は第十二項の規定によるこれらの規定に規定する還付請求書の提出
[p1-i54] 五十四 第九条の五第十三項の規定による同項に規定する還付請求書の提出
[p1-i55] 五十五 第九条の五第十四項の規定による同項に規定する還付請求書の提出
[p1-i56] 五十六 第九条の五第十五項から第十七項までの規定によるこれらの規定に規定する還付請求書の提出
[p1-i57] 五十七 第九条の五第十八項から第二十項までの規定によるこれらの規定に規定する還付請求書の提出
[p1-i58] 五十八 第九条の五第二十一項の規定による同項に規定する還付請求書の提出
[p1-i59] 五十九 第九条の六第一項の規定による同項に規定する届出書の提出
[p1-i60] 六十 第九条の六第七項の規定による同項に規定する特例届出書の提出
[p1-i61] 六十一 第九条の六第十一項又は第十二項の規定によるこれらの規定に規定する還付請求書の提出
[p1-i62] 六十二 第九条の六第十三項の規定による同項に規定する届出書の提出
[p1-i63] 六十三 第九条の六第十五項の規定による同項に規定する還付請求書の提出
[p1-i64] 六十四 第九条の七第一項の規定による同項に規定する届出書の提出
[p1-i65] 六十五 第九条の七第七項において準用する第二条の三第七項の規定の適用を受ける場合における第九条の七第一項の規定に基づく同項に規定する届出書の提出
[p1-i66] 六十六 第九条の七第八項の規定による同項に規定する特例届出書の提出
[p1-i67] 六十七 第九条の七第十項において準用する第二条の三第十一項の規定の適用を受ける場合における第九条の七第八項の規定に基づく同項に規定する特例届出書の提出
[p1-i68] 六十八 第九条の八第一項の規定による同項に規定する届出書の提出
[p1-i69] 六十九 第九条の八第七項において準用する第二条の四第七項の規定の適用を受ける場合における第九条の八第一項の規定に基づく同項に規定する届出書の提出
[p1-i70] 七十 第九条の八第八項の規定による同項に規定する特例届出書の提出
[p1-i71] 七十一 第九条の八第十項において準用する第二条の四第十一項の規定の適用を受ける場合における第九条の八第八項の規定に基づく同項に規定する特例届出書の提出
[p1-i72] 七十二 第九条の九第一項の規定による同項に規定する届出書の提出
[p1-i73] 七十三 第九条の九第七項において準用する第二条の五第七項の規定の適用を受ける場合における第九条の九第一項の規定に基づく同項に規定する届出書の提出
[p1-i74] 七十四 第九条の九第八項の規定による同項に規定する特例届出書の提出
[p1-i75] 七十五 第九条の九第十項において準用する第二条の五第十二項の規定の適用を受ける場合における第九条の九第八項の規定に基づく同項に規定する特例届出書の提出
[p1-i76] 七十六 前条第三項の規定による同項に規定する還付請求書の提出
[p2] 2 届出書等（前項第三十七号又は第三十九号に規定する届出書に限る。以下この項において同じ。）を受理したこれらの号に規定する規定の非居住者又は外国法人は、届出書等の提出（当該届出書等に係るものに限る。以下この項において同じ。）の際に経由すべきこれらの号に規定する規定の対価の支払者が次に掲げる要件を満たす場合には、当該届出書等の提出に代えて、当該対価の支払者に対し、届出書等記載事項（当該届出書等に係るものに限る。以下この項において同じ。）の電磁的方法による提供をすることができる。
                  この場合において、当該非居住者又は外国法人は、その者の氏名又は名称を明らかにする措置を講じなければならないものとし、当該氏名又は名称を明らかにする措置を講じているときは、当該届出書等を当該対価の支払者に提出したものとみなす。
[p2-i1] 一 当該非居住者又は外国法人が行う電磁的方法による届出書等記載事項の提供を適正に受けることができる措置を講じていること。
[p2-i2] 二 その提供を受けた届出書等記載事項について、その提供をした当該非居住者又は外国法人を特定するための必要な措置を講じていること。
[p2-i3] 三 その提供を受けた届出書等記載事項について、電子計算機の映像面への表示及び書面への出力をするための必要な措置を講じていること。
[p3] 3 届出書等提出者（次の各号に掲げる書類の添付（以下この項において「添付書類の添付」という。）をする者に限る。以下この項において同じ。）は、第一項（当該各号に規定する規定（同項に係るものに限る。）に係る部分に限る。）の規定により届出書等記載事項（届出書等（当該各号に規定する届出書、書面又は還付請求書に限る。以下この項において同じ。）に係るものに限る。）を電磁的方法により提供する場合には、当該添付書類の添付に代えて、届出書等の提出（当該届出書等に係るものに限る。）の際に経由すべき源泉徴収義務者等に対し、当該各号に規定する添付すべき書類（以下この項において「添付書類」という。）に記載すべきものとされ、又は記載されている事項を電磁的方法により提供することができる。
                  この場合において、当該届出書等提出者は、当該各号に規定する規定（当該添付書類の添付をすることを定めるものに限る。）により当該届出書等に当該添付書類を添付したものとみなす。
[p3-i1] 一 第二条第五項から第七項までの規定による第一項第一号に規定する届出書に添付すべき書類の添付
[p3-i2] 二 第二条第十六項（第九条の五第九項において準用する場合を含む。）の規定による第一項第五号に規定する書面に添付すべき書類の添付
[p3-i3] 三 第二条の二第四項から第六項までの規定による第一項第六号に規定する届出書に添付すべき書類の添付
[p3-i4] 四 第二条の二第十五項（第九条の六第九項において準用する場合を含む。）の規定による第一項第十号に規定する書面に添付すべき書類の添付
[p3-i5] 五 第二条の三第四項から第六項までの規定による第一項第十一号に規定する届出書に添付すべき書類の添付
[p3-i6] 六 第二条の三第十五項（第九条の七第十項において準用する場合を含む。）の規定による第一項第十六号に規定する書面に添付すべき書類の添付
[p3-i7] 七 第二条の四第四項から第六項までの規定による第一項第十七号に規定する届出書に添付すべき書類の添付
[p3-i8] 八 第二条の四第十五項（第九条の八第十項において準用する場合を含む。）の規定による第一項第二十二号に規定する書面に添付すべき書類の添付
[p3-i9] 九 第二条の五第四項から第六項までの規定による第一項第二十三号に規定する届出書に添付すべき書類の添付
[p3-i10] 十 第二条の五第八項の規定による第一項第二十四号に規定する届出書に添付すべき書類の添付
[p3-i11] 十一 第二条の五第十六項（第九条の九第十項において準用する場合を含む。）の規定による第一項第二十八号に規定する書面に添付すべき書類の添付
[p3-i12] 十二 第三条の四第二項又は第三項の規定による第一項第三十二号に規定する還付請求書に添付すべき書類の添付
[p3-i13] 十三 第三条の四第五項又は第六項の規定による第一項第三十三号に規定する還付請求書に添付すべき書類の添付
[p3-i14] 十四 第九条の九第七項において準用する第二条の五第八項の規定による第一項第七十三号に規定する届出書に添付すべき書類の添付
[p4] 4 届出書等提出者（第一項第二号、第五号から第二十八号まで、第三十一号から第三十三号まで、第三十五号、第四十号から第四十二号まで、第四十七号、第四十八号又は第五十一号から第七十五号までに掲げる書類の提出をする者に限る。以下この項において同じ。）は、第一項（これらの号に係る部分に限る。）の規定により届出書等記載事項（届出書等（これらの号に規定する書類に限る。以下この項において同じ。）に係るものに限る。）を電磁的方法により提供する場合には、これらの号に規定する規定（届出書等の提出（当該届出書等に係るものに限る。以下この項において同じ。）をすることを定めるものに限る。以下この項において同じ。）による当該届出書等に添付すべき書類（以下この項において「添付書類」という。）の提出に代えて、当該届出書等の提出の際に経由すべき源泉徴収義務者等に対し、当該添付書類に記載すべきものとされ、又は記載されている事項を電磁的方法により提供することができる。
                  この場合において、当該届出書等提出者は、これらの号に規定する規定により当該届出書等に当該添付書類を添付して、提出したものとみなす。
[p5] 5 届出書等提出者が支払を受ける振替株式等配当等（第二条第一項第五号イに規定する配当又は同号ロに規定する利子のうち、振替機関等（社債、株式等の振替に関する法律（平成十三年法律第七十五号）第二条第五項に規定する振替機関等をいい、同法第四十八条の規定により同法第二条第二項に規定する振替機関とみなされる者を含む。）の営業所等（営業所又は事務所をいう。以下この項において同じ。）に開設された口座に係る同法に規定する振替口座簿に記載若しくは記録がされ、又は金融商品取引業者等（金融商品取引法第二十八条第一項に規定する第一種金融商品取引業を行う同法第二条第九項に規定する金融商品取引業者又は同条第十一項に規定する登録金融機関をいう。）の国内にある営業所等に開設された口座に保管の委託がされている社債、株式等の振替に関する法律第二条第一項に規定する社債等に係るものをいう。）に係る届出書等（第一項第一号から第二十八号まで、第三十二号、第三十三号、第五十一号から第五十三号まで、第五十九号から第六十一号まで及び第六十四号から第七十五号までに規定する書類に限る。）に係る同項及び前二項の規定の適用については、第一項中「代えて、」とあるのは「代えて、第五項の振替機関等の営業所等又は同項の金融商品取引業者等の国内にある営業所等を経由して」と、「その者の氏名又は名称を明らかにする措置を講じなければならないものとし、当該氏名又は名称を明らかにする措置を講じているときは、当該」とあるのは「当該」と、第三項中「代えて、」とあるのは「代えて、第五項の振替機関等の営業所等又は同項の金融商品取引業者等の国内にある営業所等を経由して」と、前項中「代えて、」とあるのは「代えて、次項の振替機関等の営業所等又は同項の金融商品取引業者等の国内にある営業所等を経由して」とする。
[p6] 6 第三項又は第四項に規定する添付書類に記載されている事項（第九項第二号イ（２）において「第三者作成添付書類記載事項」という。）を電磁的方法により提供する場合におけるその提供に関するファイル形式については、国税関係法令に係る情報通信技術を活用した行政の推進等に関する省令第五条第四項（同条第三項第二号に掲げる方法に係る部分に限る。）の規定に基づき国税庁長官が定めるファイル形式とする。
[p7] 7 第二条第十一項、第二条の二第十項、第二条の三第九項、第二条の四第九項及び第二条の五第十項に規定する特例届出書には、第一項の規定により提供されるこれらの特例届出書に記載すべき事項を記録した電磁的記録（電子的方式、磁気的方式その他人の知覚によつては認識することができない方式で作られる記録であつて、電子計算機による情報処理の用に供されるものをいう。以下同じ。）を含むものとする。
