doc_code	item_id	title	snippet	text_url
asbj_implementation_guidance	s0074-part-05	「固定資産の減損に係る会計基準の適用指針」 (part 5/15)	(3) 共用資産の帳簿価額を配分した各資産グループにおいて認識された減損損失は、 帳 簿価額に基づく比例配分等の合理的な方法により、 共用資産の配分額を含む当該資産 グループの各構成資産に配分する（第26項参照）。 のれんの取扱い 51.…	text/asbj_implementation_guidance/s0074-part-05.txt
asbj_implementation_guidance	s0074-part-06	「固定資産の減損に係る会計基準の適用指針」 (part 6/15)	(3) 2009 年（平成 21 年）改正の本適用指針（以下「2009年（平成 21 年）改正適用指 針」という。）の適用時期は、2008年（平成20年）に改正された企業会計基準第21 号「企業結合に関する会計基準」と同様とする。 (4)…	text/asbj_implementation_guidance/s0074-part-06.txt
asbj_implementation_guidance	s0074-part-07	「固定資産の減損に係る会計基準の適用指針」 (part 7/15)	定等が複数の連結会社を対象に行われていない場合には、 見直されるわけではない。 また、 複数の資産が一体となって独立したキャッシュ・フローを生み出す場合に必要となる資産 のグルーピングの考え方（減損会計意見書 四 2.(6)①）から、当該…	text/asbj_implementation_guidance/s0074-part-07.txt
asbj_implementation_guidance	s0074-part-08	「固定資産の減損に係る会計基準の適用指針」 (part 8/15)	グループの一部について市場価格が著しく下落した場合も少なくないと考えられる。 この 場合には、 どの程度の範囲の資産の市場価格の著しい下落をもって減損の兆候があると考 えるかが問題となるが、資産グループの主要な資産の市場価格が著しく下落し…	text/asbj_implementation_guidance/s0074-part-08.txt
asbj_implementation_guidance	s0074-part-09	「固定資産の減損に係る会計基準の適用指針」 (part 9/15)	きではないかという見解もある。 しかしながら、そのような簡便的な方法は、適当ではないと考えられる。このように考 えられる理由としては、簡便的な方法が、資産グループについて認識された減損損失を合 理的な方法により当該資産グループの各構成資産…	text/asbj_implementation_guidance/s0074-part-09.txt
asbj_implementation_guidance	s0074-part-10	「固定資産の減損に係る会計基準の適用指針」 (part 10/15)	在価値として算定されるため、その見積期間を制限する必要はないと考えられる（本適用 指針第 37項(2)参 照 ）。 また、共用資産及びのれんに関して、より大きな単位でグルーピングを行う場合には、 加えられた共用資産及びのれんに着目し、 減…	text/asbj_implementation_guidance/s0074-part-10.txt
asbj_implementation_guidance	s0074-part-11	「固定資産の減損に係る会計基準の適用指針」 (part 11/15)	配分することができる場合には、 のれんの帳簿価額を各資産グループに配分する方法を採 用することができる（減損会計基準 二 8.） 。のれんも、共用資産と同様に、のれんの帳 簿価額を各資産グループに配分して管理会計を行っている場合や、 各資…	text/asbj_implementation_guidance/s0074-part-11.txt
asbj_implementation_guidance	s0074-part-12	「固定資産の減損に係る会計基準の適用指針」 (part 12/15)	144-2.2024 年改正適用指針を公表する審議の過程では、リース会計基準等の公表を受けて、 使用権資産への減損会計基準の適用に関する具体的な取扱いを定めてはどうかとの意見 が聞かれた。具体的には、国際財務報告基準（IFRS）第 16 …	text/asbj_implementation_guidance/s0074-part-12.txt
asbj_implementation_guidance	s0074-part-13	「固定資産の減損に係る会計基準の適用指針」 (part 13/15)	は賃貸ビルとして新たにグルーピングの単位となることが考えられる。また、一部分 であっても賃貸部分だけ仕様が異なること等のため、複数からなる資産と考えられる 場合であって、当該部分を切り離しても製品 X の製造・販売から生ずるキャッシュ・ …	text/asbj_implementation_guidance/s0074-part-13.txt
asbj_implementation_guidance	s0074-part-14	「固定資産の減損に係る会計基準の適用指針」 (part 14/15)	C の使用という合理的な計画があることから、資産C を使用することにより生ずる将来 キャッシュ・フローを減損損失の認識の判定及び測定の際に使用する将来キャッシュ・ フローに含める｡ また、8年経過後には合理的な計画がないが、資産グループの…	text/asbj_implementation_guidance/s0074-part-14.txt
asbj_implementation_guidance	s0074-part-15	「固定資産の減損に係る会計基準の適用指針」 (part 15/15)	③ 資産グループ C の回収可能価額は 120 であり、資産グループ A、B の回収可能価額 はわからない。 共用資産を含む、 より大きな単位での回収可能価額は365であった。 （2）資産グループごとの減損損失の認識の判定及び測定 資産グ…	text/asbj_implementation_guidance/s0074-part-15.txt
asbj_implementation_guidance	s0075-part-01	「企業結合会計基準及び事業分離等会計基準に関する適用指針」 (part 1/21)	[page 1] 企業会計基準委員会 企業会計基準適用指針第 10 号 2024 年 9 月 企業結合会計基準及び事業分離等会計基準に 関する適用指針 [page 2] - - 1 企業会計基準適用指針第10号 企業結合会計基準及び事業分…	text/asbj_implementation_guidance/s0075-part-01.txt
